fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,q_max,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,np_100,n_nub,np_001,ta_min,e,np_300,nv_1000,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,q_mar,inso,p_sol,evap,nw_55,w_racha,nw_91,w_rec,ts_20,ts_10,ts_50,glo
1961-6,2462,21.1(01),5.0,74.0,2.0,4.0,821.0(28),815.7,7.4,23.6(30),14.2,0.0,0.0,6.0,2.0,19.0,13.0,-0.2(02),106.0,0.0,0.0,82.1,10.0,8.0,9.0,3.0,3.5,1.0,11.9,16.3,4.0,798.6(01),9.0,1016.6,9.9,66.0,,,,,,,,,
1961-7,2462,9.4(22),0.0,67.0,,3.0,822.7(26),817.2,10.6,25.2(10),15.2,0.0,0.0,6.0,0.0,25.0,8.0,0.0(13),121.0,0.0,1.0,23.7,,4.0,7.0,1.0,15.4,,15.5,20.4,2.0,810.5(12),6.0,1015.6,11.4,77.0,,,,,,,,,
1961-8,2462,8.0(13),2.0,58.0,0.0,1.0,824.7(27),818.6,12.1,26.6(18),16.8,0.0,0.0,18.0,0.0,11.0,4.0,5.2(20),112.0,0.0,1.0,15.1,4.0,2.0,6.0,0.0,16.5,0.0,17.1,22.1,1.0,813.3(10),3.0,1016.4,10.9,79.0,,,,,,,,,
1961-9,2462,105.8(28),8.0,76.0,0.0,8.0,823.0(14),816.3,9.0,23.4(12),13.6,0.0,0.0,7.0,4.0,15.0,14.0,0.8(30),115.0,2.0,0.0,227.7,14.0,6.0,11.0,0.0,8.0,0.0,13.4,17.7,6.0,808.5(29),11.0,1016.5,7.2,58.0,,,,,,,,,
1961-10,2462,24.8(06),21.0,93.0,0.0,11.0,821.4(10),812.6,2.1,17.2(12),8.8,0.0,0.0,1.0,7.0,9.0,13.0,-3.6(20),83.0,0.0,0.0,153.0,9.0,1.0,9.0,11.0,0.0,5.0,5.0,7.9,20.0,803.1(18),12.0,1018.6,3.2,29.0,,,,,,,,,
1961-11,2462,107.3(20),22.0,95.0,,6.0,819.5(01),805.6,-1.6,8.8(01),3.6,0.0,0.0,4.0,8.0,4.0,16.0,-7.2(30),63.0,4.0,2.0,390.1,,0.0,18.0,22.0,-2.6,,0.6,2.8,21.0,789.8(12),16.0,1013.5,1.9,19.0,,,,,,,,,
1961-12,2462,33.6(30),17.0,78.0,0.0,10.0,822.6(14),810.4,-0.1,15.6(16),8.6,0.0,0.0,7.0,3.0,7.0,16.0,-5.6(19),57.0,1.0,0.0,138.3,8.0,0.0,9.0,19.0,0.0,8.0,2.7,5.4,18.0,793.3(24),15.0,1018.0,3.1,33.0,,,,,,,,,
1961-13,2462,107.3(20/nov),130.0,77.0,,91.0,827.8(09/feb),813.7,3.6,26.6(18/ago),16.8,0.0,1.0,88.0,36.0,147.0,145.0,-8.2(22/ene),82.0,9.0,5.0,1495.9,,23.0,9.0,119.0,-6.6,,7.3,10.9,127.0,789.8(12/nov),128.0,1018.3,6.4,50.0,,,,,,,,,
1962-1,2462,49.5(02),15.0,82.0,0.0,18.0,824.1(26),813.3,-3.7,8.8(26),2.0,0.0,0.0,8.0,3.0,8.0,14.0,-8.2(31),51.0,2.0,0.0,138.4,3.0,0.0,10.0,28.0,-2.6,11.0,-0.3,3.0,16.0,798.3(03),11.0,1024.0,3.9,40.0,,,,,,,,,
1962-2,2462,6.7(08),13.0,83.0,0.0,12.0,826.9(05),813.6,-4.4,11.0(06),2.2,0.0,2.0,8.0,0.0,7.0,13.0,-9.0(10),48.0,0.0,0.0,37.7,0.0,0.0,10.0,26.0,-5.0,13.0,-1.0,2.3,8.0,794.6(25),7.0,1025.2,4.4,41.0,,,,,,,,,
