fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,q_max,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,np_100,n_nub,np_001,ta_min,e,np_300,nv_1000,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,q_mar,inso,p_sol,evap,nw_55,w_racha,nw_91,w_rec,ts_20,ts_10,ts_50,glo
1985-12,3100B,12.0(27),,,0.0,0.0,,,,,,,,,3.0,,11.0,,,0.0,,72.5,11.0,0.0,,,,0.0,,,,,11.0,,,,,,,,,,,,
1985-13,3100B,20.0(20/ene),,,0.0,0.0,,,,,,,,,11.0,,55.0,,,0.0,,323.8,54.0,0.0,,,,1.0,,,,,53.0,,,,,,,,,,,,
1986-1,3100B,6.0(29),,,0.0,0.0,,,,,,,,,0.0,,5.0,,,0.0,,14.5,5.0,0.0,,,,0.0,,,,,5.0,,,,,,,,,,,,
1986-2,3100B,9.5(13),,,0.0,0.0,,,,,,,,,0.0,,13.0,,,0.0,,58.0,12.0,0.0,,,,1.0,,,,,13.0,,,,483.0,,,,,,,,
1986-3,3100B,14.5(13),,,0.0,0.0,,,,,,,,,1.0,,5.0,,,0.0,,30.5,5.0,0.0,,,,0.0,,,,,4.0,,,,690.0,,,,,,,,
1986-4,3100B,15.0(26),,,0.0,0.0,,,,,,,,,1.0,,11.0,,,0.0,,49.0,11.0,0.0,,,,0.0,,,,,11.0,,,,,,,,,,,,
1986-5,3100B,9.5(14),,,0.0,0.0,,,,,,,,,0.0,,3.0,,,0.0,,18.5,3.0,0.0,,,,0.0,,,,,2.0,,,,,,,,,,,,
1986-6,3100B,1.0(19),,,0.0,0.0,,,,,,,,,0.0,,1.0,,,0.0,,1.0,1.0,0.0,,,,0.0,,,,,1.0,,,,,,,,,,,,
1986-7,3100B,2.0(25),,,0.0,0.0,,,,,,,,,0.0,,1.0,,,0.0,,2.0,1.0,0.0,,,,0.0,,,,,1.0,,,,2559.0,,,,,,,,
1986-8,3100B,0.0(--),,,0.0,0.0,,,,,,,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,,2095.0,,,,,,,,
1986-9,3100B,10.5(10),,,0.0,0.0,,,,,,,,,1.0,,3.0,,,0.0,,18.0,3.0,0.0,,,,0.0,,,,,3.0,,,,1243.0,,,,,,,,
1986-10,3100B,20.0(15),,,0.0,0.0,,,,,,,,,5.0,,8.0,,,0.0,,85.0,8.0,0.0,,,,0.0,,,,,8.0,,,,,,,,,,,,
1986-11,3100B,10.0(14),,,0.0,0.0,,,,,,,,,1.0,,3.0,,,0.0,,18.0,3.0,0.0,,,,0.0,,,,,3.0,,,,,,,,,,,,
1986-12,3100B,13.5(13),,,0.0,0.0,,,,,,,,,1.0,,3.0,,,0.0,,19.0,3.0,0.0,,,,0.0,,,,,3.0,,,,,,,,,,,,
1986-13,3100B,20.0(15/oct),,,0.0,0.0,,,,,,,,,10.0,,56.0,,,0.0,,313.5,55.0,0.0,,,,1.0,,,,,54.0,,,,,,,,,,,,
1987-1,3100B,37.0(09),,,0.0,0.0,,,,,,,,,2.0,,9.0,,,1.0,,86.0,9.0,0.0,,,,0.0,,,,,9.0,,,,491.0,,,,,,,,
1987-2,3100B,7.0(16),,,0.0,0.0,,,,,,,,,0.0,,9.0,,,0.0,,41.5,9.0,0.0,,,,0.0,,,,,9.0,,,,600.0,,,,,,,,
1987-3,3100B,2.0(12),,,0.0,0.0,,,,,,,,,0.0,,4.0,,,0.0,,4.0,4.0,0.0,,,,0.0,,,,,2.0,,,,905.0,,,,,,,,
1987-4,3100B,19.0(06),,,0.0,0.0,,,,,,,,,2.0,,8.0,,,0.0,,53.5,8.0,0.0,,,,0.0,,,,,8.0,,,,867.0,,,,,,,,
1987-5,3100B,8.0(16),,,0.0,0.0,,,,,,,,,0.0,,2.0,,,0.0,,10.0,2.0,0.0,,,,0.0,,,,,2.0,,,,,,,,,,,,
1987-6,3100B,0.0(--),,,0.0,0.0,,,,,,,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,,1933.0,,,,,,,,
1987-7,3100B,18.5(13),,,0.0,0.0,,,,,,,,,1.0,,3.0,,,0.0,,24.5,3.0,0.0,,,,0.0,,,,,3.0,,,,,,,,,,,,
1987-8,3100B,20.0(29),,,0.0,0.0,,,,,,,,,1.0,,2.0,,,0.0,,24.0,2.0,0.0,,,,0.0,,,,,2.0,,,,,,,,,,,,
1987-9,3100B,11.5(25),,,0.0,0.0,,,,,,,,,1.0,,1.0,,,0.0,,11.5,1.0,0.0,,,,0.0,,,,,1.0,,,,,,,,,,,,
1987-10,3100B,11.5(01),,,0.0,0.0,,,,,,,,,3.0,,13.0,,,0.0,,71.5,13.0,0.0,,,,0.0,,,,,11.0,,,,,,,,,,,,
1987-11,3100B,20.0(07),,,0.0,0.0,,,3.9,,14.0,,,,1.0,,7.0,-4.5(29),,0.0,,48.7,7.0,0.0,,7.0,,0.0,,,,,7.0,,,,,,,,,,,,
1987-12,3100B,21.0(11),,,0.0,0.0,,,,,,,,,3.0,,14.0,,,0.0,,77.5,14.0,0.0,,,,0.0,,,,,13.0,,,,,,,,,,,,
1987-13,3100B,37.0(09/ene),,,0.0,0.0,,,,,,,,,14.0,,72.0,,,1.0,,452.7,72.0,0.0,,,,0.0,,,,,67.0,,,,,,,,,,,,
1988-1,3100B,10.0(17),,,0.0,0.0,,,,,,,,,1.0,,13.0,,,0.0,,39.9,13.0,0.0,,,,0.0,,,,,10.0,,,,,,,,,,,,
1988-2,3100B,16.5(16),,,0.0,0.0,,,,,,,,,1.0,,4.0,,,0.0,,21.4,4.0,0.0,,,,0.0,,,,,4.0,,,,,,,,,,,,
1988-3,3100B,0.4(21),,,0.0,0.0,,,,,,,,,0.0,,1.0,,,0.0,,0.4,1.0,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,
1988-4,3100B,12.0(11),,,0.0,0.0,,,,,,,,,4.0,,12.0,,,0.0,,75.0,12.0,0.0,,,,0.0,,,,,11.0,,,,,,,,,,,,
1988-5,3100B,12.0(12),,,0.0,0.0,,,,,,,,,1.0,,12.0,,,0.0,,50.7,12.0,0.0,,,,0.0,,,,,11.0,,,,,,,,,,,,
1988-6,3100B,14.0(13),,,0.0,0.0,,,,,,,,,2.0,,17.0,,,0.0,,72.5,17.0,0.0,,,,0.0,,,,,15.0,,,,,,,,,,,,
1988-7,3100B,6.5(01),,,0.0,0.0,,,,,,,,,0.0,,4.0,,,0.0,,19.5,4.0,0.0,,,,0.0,,,,,4.0,,,,,,,,,,,,
1988-8,3100B,0.0(--),,,0.0,0.0,,,,,,,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,
1988-9,3100B,0.0(--),,,0.0,0.0,,,,,,,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,
1988-10,3100B,37.5(16),,,0.0,0.0,,,,,,,,,2.0,,7.0,,,2.0,,91.1,7.0,0.0,,,,0.0,,,,,7.0,,,,,,,,,,,,
1988-11,3100B,13.8(10),,,0.0,0.0,,,,,,,,,1.0,,11.0,,,0.0,,42.0,11.0,0.0,,,,0.0,,,,,9.0,,,,,,,,,,,,
1988-12,3100B,0.0(--),,,0.0,0.0,,,,,,,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,
1988-13,3100B,37.5(16/oct),,,0.0,0.0,,,,,,,,,12.0,,81.0,,,2.0,,412.5,81.0,0.0,,,,0.0,,,,,71.0,,,,,,,,,,,,
1997-1,3100B,0.1(08),,81.0,,,,,2.8,16.6(12),7.6,0.0,,,0.0,,1.0,-4.1(07),83.0,0.0,,0.1,,,6.0,5.0,1.7,,6.8,10.8,,,0.0,,,,,1.0,32/22.2(09),0.0,137.0,,,,
1997-2,3100B,,,,,,,,,,,,,,,,,,81.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
1997-3,3100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-4,3100B,7.6(19),,52.0,,,,,7.8,29.3(30),13.3,0.0,,,0.0,,9.0,1.9(12),98.0,0.0,,18.7,,,6.0,0.0,18.1,,15.7,23.6,,,5.0,,,,,0.0,14/12.2(07),0.0,137.0,,,,
1997-5,3100B,16.3(25),,54.0,,,,,10.4,31.0(29),14.9,1.0,,,1.0,,11.0,1.8(08),114.0,0.0,,50.7,,,8.0,0.0,17.2,,17.3,24.2,,,7.0,,,,,1.0,29/19.2(07),0.0,178.0,,,,
1997-6,3100B,10.8(18),,50.0,,,,,12.9,32.7(25),17.5,8.0,,,1.0,,5.0,7.3(30),127.0,0.0,,17.3,,,8.0,0.0,18.6,,20.0,27.1,,,4.0,,,,,0.0,11/14.4(04),0.0,161.0,,,,
1997-7,3100B,7.9(15),,47.0,,,,,15.4,37.8(27),19.9,24.0,,,0.0,,5.0,7.9(03),150.0,0.0,,17.7,,,5.0,0.0,20.9,,23.7,32.0,,,3.0,,,,,0.0,32/14.2(23),0.0,126.0,,,,
1997-8,3100B,6.8(10),,49.0,,,,,17.0,39.8(02),21.7,22.0,,,0.0,,7.0,7.9(29),164.0,0.0,,14.2,,,5.0,0.0,23.6,,24.9,32.7,,,4.0,,,,,0.0,12/13.3(23),0.0,134.0,,,,
1997-9,3100B,28.7(25),,52.0,,,,,15.2,36.7(11),18.6,16.0,,,1.0,,4.0,9.6(02),148.0,0.0,,30.7,,,4.0,0.0,20.5,,22.8,30.4,,,1.0,,,,,0.0,12/11.7(06),0.0,127.0,,,,
1997-10,3100B,6.5(22),,61.0,,,,,10.5,31.5(03),16.8,4.0,,,0.0,,8.0,-1.0(30),121.0,0.0,,18.9,,,5.0,2.0,17.5,,17.5,24.4,,,7.0,,,,,1.0,36/15.8(18),0.0,124.0,,,,
1997-11,3100B,,,79.0,,,,,6.5,20.3(03),13.7,0.0,,,,,,0.0(23),101.0,,,,,,7.0,1.0,10.4,,10.2,13.9,,,,,,,,0.0,02/13.6(25),0.0,138.0,,,,
1997-12,3100B,9.1(17),,80.0,,,,,3.5,17.4(02),10.5,0.0,,,0.0,,17.0,-3.2(15),84.0,0.0,,53.7,,,5.0,7.0,6.6,,7.5,11.4,,,10.0,,,,,0.0,02/13.9(18),0.0,118.0,,,,
1997-13,3100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-1,3100B,7.5(26),,76.0,,,,,2.6,17.4(20),8.6,0.0,,,0.0,,11.0,-2.7(25),80.0,0.0,,23.0,,,7.0,8.0,8.2,,7.5,12.2,,,6.0,,,,,0.0,36/15.0(12),0.0,161.0,,,,
1998-2,3100B,18.0(02),,70.0,,,,,4.1,22.5(16),8.4,0.0,,,1.0,,5.0,-1.2(24),86.0,0.0,,36.6,,,5.0,3.0,10.5,,10.4,16.6,,,5.0,,,,,0.0,04/13.9(08),0.0,118.0,,,,
1998-3,3100B,8.6(29),,54.0,,,,,4.1,25.8(18),13.6,0.0,,,0.0,,4.0,-2.0(14),80.0,0.0,,15.1,,,6.0,3.0,13.4,,12.6,21.1,,,3.0,,,,,0.0,31/12.8(11),0.0,146.0,,,,
1998-4,3100B,9.1(28),,59.0,,,,,5.1,28.8(25),11.5,0.0,,,0.0,,15.0,-1.2(13),83.0,0.0,,33.0,,,9.0,1.0,10.7,,11.3,17.5,,,9.0,,,,,4.0,28/17.2(10),0.0,191.0,,,,
1998-5,3100B,14.6(19),,61.0,,,,,10.1,29.9(18),14.3,0.0,,,1.0,,15.0,0.7(05),116.0,0.0,,61.3,,,7.0,0.0,15.9,,16.2,22.4,,,12.0,,,,,0.0,14/14.4(07),0.0,152.0,,,,
1998-6,3100B,9.2(04),,45.0,,,,,14.6,37.0(28),20.1,17.0,,,0.0,,3.0,6.6(12),142.0,0.0,,15.9,,,7.0,0.0,23.3,,22.9,31.1,,,3.0,,,,,0.0,12/13.3(20),0.0,145.0,,,,
1998-7,3100B,0.1(01),,41.0,,,,,16.7,39.1(17),22.3,26.0,,,0.0,,3.0,10.8(03),160.0,0.0,,0.3,,,6.0,0.0,27.8,,26.1,35.4,,,0.0,,,,,1.0,31/17.2(07),0.0,129.0,,,,
1998-8,3100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-9,3100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-10,3100B,,,60.0,,,,,6.4,26.5(16),13.2,0.0,,,,,,0.5(21),95.0,,,,,,4.0,0.0,14.4,,14.3,22.2,,,,,,,,0.0,28/11.1(25),0.0,98.0,,,,
1998-11,3100B,0.0(--),,68.0,,,,,2.4,22.3(10),13.6,0.0,,,0.0,,0.0,-5.2(21),83.0,0.0,,0.0,,,3.0,11.0,9.9,,9.4,16.3,,,0.0,,,,,0.0,27/12.5(13),0.0,92.0,,,,
1998-12,3100B,7.7(30),,70.0,,,,,-2.4,16.8(17),8.4,0.0,,,0.0,,6.0,-7.4(22),61.0,0.0,,17.0,,,3.0,23.0,8.0,,4.9,12.1,,,4.0,,,,,1.0,14/18.6(31),0.0,85.0,,,,
1998-13,3100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-1,3100B,4.0(16),,68.0,,,,,-0.9,19.0(06),6.1,0.0,,,0.0,,5.0,-6.3(13),64.0,0.0,,9.8,,,5.0,23.0,6.7,,5.8,12.5,,,3.0,,,,,1.0,28/15.8(09),0.0,116.0,,,,
1999-2,3100B,13.1(24),,57.0,,,,,-1.8,21.4(22),6.3,0.0,,,1.0,,4.0,-10.0(01),57.0,0.0,,21.7,,,5.0,22.0,7.9,,6.7,15.0,,,3.0,,,,,0.0,27/11.4(24),0.0,109.0,,,,
1999-3,3100B,7.0(25),,57.0,,,,,3.1,25.3(31),9.7,0.0,,,0.0,,9.0,-3.2(07),73.0,0.0,,26.5,,,6.0,3.0,10.5,,10.5,17.9,,,7.0,,,,,0.0,30/15.0(27),0.0,154.0,,,,
1999-4,3100B,23.9(27),,50.0,,,,,5.7,29.6(05),11.8,0.0,,,3.0,,8.0,-1.0(18),83.0,0.0,,59.9,,,7.0,2.0,13.4,,13.8,21.7,,,6.0,,,,,0.0,30/14.7(25),0.0,157.0,,,,
1999-5,3100B,10.3(01),,51.0,,,,,10.9,33.7(31),17.8,9.0,,,1.0,,10.0,5.6(20),114.0,0.0,,42.1,,,6.0,0.0,15.2,,18.5,26.1,,,6.0,,,,,0.0,15/13.6(31),0.0,139.0,,,,
1999-6,3100B,14.6(24),,44.0,,,,,13.9,37.9(30),19.3,20.0,,,1.0,,6.0,8.2(06),133.0,0.0,,31.8,,,6.0,0.0,25.0,,22.8,31.6,,,5.0,,,,,1.0,23/15.6(01),0.0,138.0,,,,
1999-7,3100B,26.6(12),,43.0,,,,,18.4,41.1(01),21.5,29.0,,,2.0,,3.0,13.7(06),162.0,0.0,,43.5,,,6.0,0.0,29.1,,27.1,35.8,,,2.0,,,,,0.0,14/13.6(26),0.0,127.0,,,,
1999-8,3100B,0.7(07),,43.0,,,,,16.5,41.0(24),23.2,29.0,,,0.0,,2.0,12.1(08),153.0,0.0,,0.8,,,6.0,0.0,27.5,,25.6,34.6,,,0.0,,,,,0.0,13/14.7(31),0.0,119.0,,,,
1999-9,3100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10,3100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11,3100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12,3100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-13,3100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-1,3100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2,3100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-3,3100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-4,3100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-5,3100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-6,3100B,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,
2000-7,3100B,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,
2000-8,3100B,0.3(11),,41.0,,,,,15.9,39.8(16),23.1,27.0,,,0.0,,2.0,10.0(22),145.0,0.0,,0.4,,,5.0,0.0,28.6,,24.9,34.0,,,0.0,,,,,0.0,04/11.4(06),0.0,131.0,,,,
2000-9,3100B,4.4(19),,47.0,,,,,12.1,35.7(07),18.4,18.0,,,0.0,,6.0,4.9(22),124.0,0.0,,8.6,,,5.0,0.0,19.6,,21.3,30.4,,,3.0,,,,,0.0,34/13.6(11),0.0,124.0,,,,
2000-10,3100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11,3100B,10.9(22),,69.0,,,,,3.3,19.9(28),13.2,0.0,,,2.0,,16.0,-2.3(16),83.0,0.0,,55.3,,,6.0,7.0,8.6,,8.8,14.3,,,8.0,,,,,0.0,29/13.3(06),0.0,151.0,,,,
2000-12,3100B,18.4(29),,73.0,,,,,3.6,17.8(07),11.3,0.0,,,4.0,,14.0,-2.1(16),81.0,0.0,,93.9,,,7.0,6.0,9.1,,8.2,12.8,,,12.0,,,,,4.0,24/19.2(07),0.0,168.0,,,,
2000-13,3100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-1,3100B,10.1(26),,73.0,,,,,4.1,17.0(31),8.7,0.0,,,1.0,,22.0,-1.8(30),82.0,0.0,,58.8,,,6.0,3.0,8.6,,8.3,12.5,,,14.0,,,,,1.0,30/21.9(28),0.0,152.0,,,,
2001-2,3100B,8.1(23),,63.0,,,,,1.7,20.8(12),9.7,0.0,,,0.0,,14.0,-4.3(26),70.0,0.0,,23.8,,,5.0,9.0,9.4,,8.3,14.9,,,4.0,,,,,1.0,20/15.6(07),0.0,129.0,,,,
2001-3,3100B,11.7(01),,64.0,,,,,7.7,28.7(23),13.0,0.0,,,1.0,,11.0,0.6(14),99.0,0.0,,46.3,,,7.0,0.0,11.6,,13.3,18.8,,,9.0,,,,,2.0,27/19.4(16),0.0,172.0,,,,
2001-4,3100B,10.5(19),,48.0,,,,,5.5,26.7(16),10.9,0.0,,,1.0,,6.0,-0.5(21),82.0,0.0,,19.4,,,7.0,1.0,15.9,,13.7,21.9,,,2.0,,,,,0.0,99/14.2(07),0.0,168.0,,,,
2001-5,3100B,12.9(09),,55.0,,,,,10.2,37.5(31),17.9,8.0,,,1.0,,15.0,2.0(02),115.0,0.0,,46.1,,,5.0,0.0,8.3,,17.5,24.6,,,9.0,,,,,0.0,23/13.1(21),0.0,124.0,,,,
2001-6,3100B,6.2(09),,36.0,,,,,14.5,40.4(22),20.8,24.0,,,0.0,,1.0,8.7(11),127.0,0.0,,6.2,,,6.0,0.0,25.0,,24.2,33.7,,,1.0,,,,,0.0,29/12.8(03),0.0,141.0,,,,
2001-7,3100B,1.5(09),,39.0,,,,,16.1,39.1(23),22.6,25.0,,,0.0,,4.0,9.3(20),138.0,0.0,,2.4,,,7.0,0.0,26.1,,24.8,33.5,,,1.0,,,,,1.0,16/17.8(31),0.0,157.0,,,,
2001-8,3100B,0.3(13),,43.0,,,,,17.3,41.0(24),23.2,31.0,,,0.0,,2.0,12.3(17),163.0,0.0,,0.5,,,6.0,0.0,30.6,,26.2,35.1,,,0.0,,,,,0.0,14/12.5(01),0.0,128.0,,,,
2001-9,3100B,10.4(28),,52.0,,,,,13.3,35.2(05),19.9,17.0,,,1.0,,7.0,7.7(25),134.0,0.0,,17.3,,,4.0,0.0,19.5,,21.4,29.4,,,3.0,,,,,0.0,12/11.7(06),0.0,114.0,,,,
2001-10,3100B,17.3(19),,67.0,,,,,11.6,29.9(02),17.0,0.0,,,2.0,,13.0,6.5(24),131.0,0.0,,58.6,,,5.0,0.0,18.5,,17.4,23.3,,,9.0,,,,,2.0,14/17.2(11),0.0,127.0,,,,
2001-11,3100B,4.7(15),,64.0,,,,,1.1,21.7(01),10.4,0.0,,,0.0,,8.0,-6.5(11),69.0,0.0,,14.9,,,4.0,15.0,7.4,,8.0,14.8,,,5.0,,,,,2.0,08/16.7(10),0.0,116.0,,,,
2001-12,3100B,8.2(23),,71.0,,,,,-3.0,16.6(06),4.7,0.0,,,0.0,,4.0,-10.5(16),56.0,0.0,,17.7,,,4.0,27.0,0.8,,3.4,9.7,,,3.0,,,,,0.0,13/11.9(18),0.0,102.0,,,,
2001-13,3100B,17.3(19/oct),,56.0,,,,,8.3,41.0(24/ago),23.2,105.0,,,7.0,,107.0,-10.5(16/dic),106.0,0.0,,312.0,,,6.0,55.0,0.8,,15.5,22.7,,,60.0,,,,,9.0,30/21.9(28/ene),0.0,136.0,,,,
2002-1,3100B,8.6(02),,76.0,,,,,1.9,19.2(29),7.8,0.0,,,0.0,,10.0,-3.1(17),76.0,0.0,,30.4,,,5.0,11.0,6.0,,7.1,12.2,,,6.0,,,,,0.0,13/14.7(02),0.0,131.0,,,,
2002-2,3100B,1.1(05),,59.0,,,,,1.0,21.5(23),8.6,0.0,,,0.0,,4.0,-4.1(18),66.0,0.0,,1.9,,,5.0,10.0,11.4,,9.0,16.9,,,1.0,,,,,0.0,30/13.9(05),0.0,128.0,,,,
2002-3,3100B,14.7(15),,56.0,,,,,4.8,29.5(24),12.1,0.0,,,1.0,,7.0,-0.2(03),78.0,0.0,,26.4,,,7.0,1.0,7.7,,12.0,19.2,,,4.0,,,,,0.0,15/14.7(03),0.0,165.0,,,,
2002-4,3100B,29.3(10),,51.0,,,,,5.6,30.3(27),11.8,1.0,,,2.0,,8.0,-1.3(05),84.0,0.0,,59.3,,,6.0,1.0,11.6,,13.5,21.3,,,7.0,,,,,0.0,30/14.2(03),0.0,131.0,,,,
2002-5,3100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-6,3100B,8.3(30),,38.0,,,,,16.2,40.2(22),22.8,24.0,,,0.0,,5.0,5.7(07),134.0,0.0,,18.8,,,8.0,0.0,21.2,,24.7,33.1,,,3.0,,,,,0.0,15/14.4(26),0.0,187.0,,,,
2002-7,3100B,2.5(07),,40.0,,,,,16.8,38.8(29),22.4,28.0,,,0.0,,2.0,13.3(03),147.0,0.0,,2.7,,,6.0,0.0,28.2,,25.7,34.5,,,1.0,,,,,0.0,08/11.4(14),0.0,131.0,,,,
2002-8,3100B,6.1(26),,44.0,,,,,16.1,38.1(13),20.9,26.0,,,0.0,,2.0,10.7(11),146.0,0.0,,6.8,,,6.0,0.0,26.7,,24.8,33.4,,,1.0,,,,,0.0,02/12.5(24),0.0,121.0,,,,
2002-9,3100B,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
2002-10,3100B,14.1(08),,65.0,,,,,9.3,27.7(06),15.5,0.0,,,1.0,,13.0,3.9(18),115.0,0.0,,31.7,,,5.0,0.0,15.4,,15.8,22.2,,,6.0,,,,,0.0,13/12.2(01),0.0,107.0,,,,
2002-11,3100B,9.7(13),,70.0,,,,,5.7,23.5(06),13.0,0.0,,,0.0,,16.0,0.6(08),92.0,0.0,,48.8,,,5.0,0.0,10.3,,10.8,15.8,,,9.0,,,,,2.0,15/16.4(14),0.0,114.0,,,,
2002-12,3100B,8.4(18),,74.0,,,,,4.3,16.9(18),13.2,0.0,,,0.0,,15.0,-2.5(08),86.0,0.0,,42.0,,,5.0,5.0,8.4,,8.9,13.4,,,12.0,,,,,0.0,02/13.3(05),0.0,129.0,,,,
2002-13,3100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-1,3100B,7.2(05),,66.0,,,,,-0.1,22.3(27),9.5,0.0,,,0.0,,11.0,-7.5(14),64.0,0.0,,29.4,,,6.0,17.0,6.8,,6.0,12.0,,,7.0,,,,,1.0,31/16.1(31),0.0,141.0,,,,
2003-2,3100B,9.5(18),,64.0,,,,,0.6,16.6(06),8.0,0.0,,,0.0,,8.0,-7.7(17),65.0,0.0,,35.5,,,8.0,13.0,4.2,,6.7,12.7,,,6.0,,,,,2.0,13/18.3(24),0.0,169.0,,,,
2003-3,3100B,,,54.0,,,,,,,,,,,,,,,80.0,,,,,,7.0,,,,,,,,,,,,,0.0,14/15.0(16),0.0,179.0,,,,
2003-4,3100B,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,162.0,,,,
2003-5,3100B,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,134.0,,,,
2003-6,3100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-7,3100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-8,3100B,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,142.0,,,,
2003-9,3100B,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,142.0,,,,
2003-10,3100B,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,2.0,24/17.8(31),0.0,132.0,,,,
2003-11,3100B,22.9(15),,71.0,,,,,4.6,20.1(07),9.1,0.0,,,1.0,,9.0,-0.8(26),88.0,0.0,,55.8,,,5.0,2.0,10.1,,9.7,14.8,,,8.0,,,,,0.0,15/12.8(22),0.0,119.0,,,,
2003-12,3100B,10.1(09),,72.0,,,,,0.7,15.9(31),6.6,0.0,,,1.0,,12.0,-3.8(23),67.0,0.0,,23.4,,,6.0,15.0,7.1,,5.9,11.1,,,6.0,,,,,2.0,14/16.7(05),0.0,134.0,,,,
2003-13,3100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-1,3100B,4.6(31),,66.0,,,,,0.3,18.5(24),9.3,0.0,,,0.0,,6.0,-5.2(20),66.0,0.0,,9.0,,,5.0,15.0,8.7,,6.3,12.3,,,3.0,,,,,0.0,02/13.6(18),0.0,118.0,,,,
2004-2,3100B,,,,,,,,,,,,,,,,,,64.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
2004-3,3100B,22.7(28),,60.0,,,,,3.1,23.5(21),7.5,0.0,,,4.0,,12.0,-6.1(02),70.0,0.0,,90.9,,,6.0,5.0,5.8,,8.9,14.6,,,9.0,,,,,0.0,33/13.1(10),0.0,130.0,,,,
2004-4,3100B,12.3(01),,52.0,,,,,4.5,27.7(26),10.4,0.0,,,1.0,,11.0,-1.7(11),74.0,0.0,,39.8,,,6.0,3.0,10.9,,11.6,18.6,,,7.0,,,,,0.0,32/12.2(22),0.0,159.0,,,,
2004-5,3100B,20.6(02),,,,,,,,,,,,,1.0,,10.0,,,0.0,,67.0,,,,,,,,,,,8.0,,,,,,,,,,,,
2004-6,3100B,0.0(--),,,,,,,,,,,,,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,
2004-7,3100B,0.0(--),,,,,,,,,,,,,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,
